Source;Nom;Adresse;Tel;Fax;Domaine;Site;Email
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;NALLIAS-SA;Immeuble BAMABEMBA Oulofobougou BP E-4666;20 22 22 44;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;NSIA MALI;Immeuble du Patronat ACI 2000 BP 1627;20 23 24 39;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;QUID ASSURANCES SARL;OUOLOFOBOUOGU BOLIBANA - RUE 457 PORTE 131 Bamako - Mali;20 22 72 89;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SABU N’YUMAN ASSURANCES;BAMAKO COURA - RUE 350 PORTE 129 Bamako - Mali;20 22 60 29;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SABU NYUMAN;Immeuble SABU NYUMAN, Rue 350, Porte 129 BP. 1822;20 22 60 29;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SABU NYUMAN;Coura Rue 350 Porte 129 BP 1822;20 22 60 29;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SAFCAR MARSH;IMMEUBLE GAOUSSOU KONATE - RUE RAYMOND POINTCARRE PORTE 99 Bamako - Mali;20 23 42 47;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SAHAM ASSURANCE MALI;Avenue Modibo KEITA BP E 154;20 22 57 75;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SAHAM ASSURANCE VIE MALI;Immeuble Hamary DEMBELE ACI 2000 BP E 154;20 22 12 20;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SONAVIE;Immeuble SONAVIE ACI 2000 BP E 2217;20 29 54 00;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;SUMU ASSURANCES MALI;SUMU ASSURANCES MALI BP E 1861;20 22 08 02;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;UAM–IARD (UNION DES ASSURANCES DU MALI);Imm. Fily Keita Hamdallaye, ACI 2000, BPE 1861 Bamako - Mali;20 22 08 02;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;UTM – UNION TECHINIQUE DE LA MUTUALITE MALIENNE;MEDINA COURA - RUE 32 PORTE 111 Bamako - Mali;20 21 33 49;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ACTIVA ASSUR MALI;HIPPODROME - AVENUE NELSON MANDELA PORTE 1571 Bamako - Mali;20 21 04 05;;Assurances - Courtiers;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;AFRIC-ASSUR Sarl;Rue Titi Niaré Bamako - Mali;(+223);;Assurances - Courtiers;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;AGF MALI;AVENUE DE LA NATION Bamako - Mali;20 22 41 65;;Assurances - Courtiers;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;AIGLE ASSUR;Imm. nimagala,  1er étage,  Bureau n°13, Grand marché BP 195;77 01 64 64;;Assurances - Courtiers;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASCOMA MALI;Avenue du Mali, ACI 2000 Hamdalaye, Immeuble Immo 2000 BP E 2062;20 21 05 60;;Assurances - Courtiers;http://www.ascoma.com;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSUR6;CENTRE VILLE Bamako - Mali;20 22 23 78;;Assurances - Courtiers;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSURANCE HAMAOULLAH;IMM BAKEBA NIORO Bamako - Mali;66 11 56 79;;Assurances - Courtiers;;
